run_id,problem_id,scope,domain,subdomain,mention_count,source_count,subq_count,flag_policy_or_regulatory,flag_computational_like,flag_missing_subqs_for_decomposable,problem_statement,related_keywords,source_ids,source_types,source_titles,decision,priority,merge_into_problem_id,in_scope,decomposition_quality,reviewer_notes
20260210_082129,1,medium,functional genomics,protein function annotation,1,1,4,0,0,0,"Accurately propagating functional annotations across isofunctional protein families, correcting numerous errors in functional assignments in existing databases, discovering completely novel functions that have not yet been characterized, and considering biological context during annotation since functions vary with context",protein annotation | functional genomics | database curation | context-dependent function | protein families,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,28,medium,microbial physiology,stress tolerance and cellular responses,1,1,4,0,0,0,"What are the morphological and compositional responses of microbial cells when tolerating chemical inhibitors (lignocellulosic inhibitors, substrates, products) and physical stresses during fermentation?",stress tolerance | lignocellulosic inhibitors | fermentation | cellular responses | adaptation | morphology,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,29,medium,plant-microbe interactions,rhizosphere chemistry and imaging,1,1,4,0,0,0,How can chemical exchanges between plants and microbes within the rhizosphere be directly measured and visualized to understand plant-microbe interactions?,rhizosphere | plant-microbe interactions | chemical exchange | root exudates | multimodal imaging | biosensors,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,32,medium,microbial ecology,microbial identification and isolation,1,1,4,0,0,0,"How can spectral signatures and mass spectrometry be used with high-throughput methods to identify, quantify, and isolate microbes in their natural environments and complex communities?",microbial identification | spectral signatures | mass spectrometry | high-throughput | isolation | microbial communities,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,35,medium,plant reproduction,self-incompatibility systems,1,1,4,0,0,0,"The self-incompatibility mechanisms operating in major bioenergy crops (switchgrass, Miscanthus, poplar) have not been characterized, preventing development of self-fertilizing lines for breeding programs.",self-incompatibility | reproduction | breeding systems | outcrossing | bioenergy crops,doe-plant-transformation-bioenergy-2024,workshop_report,Overcoming Barriers in Plant Transformation: A Focus on Bioenergy Crops,,,,,,
20260210_082129,37,medium,plant molecular biology,gene regulation and transgene expression,1,1,4,1,0,0,"How promoters, enhancers, and cis-regulatory elements (CREs) impact position effects of transgene insertions in bioenergy crops is not understood, and sequences with insulator-like function to dampen ectopic interactions are needed.",cis-regulatory elements | position effects | transgene expression | insulators | safe harbors | enhancers,doe-plant-transformation-bioenergy-2024,workshop_report,Overcoming Barriers in Plant Transformation: A Focus on Bioenergy Crops,,,,,,
20260210_082129,2,medium,metabolomics,metabolite identification and functional annotation,1,1,3,0,0,0,"Lack of detailed insights into gene and protein function, along with the ability to identify most metabolites and their intricate biological roles",metabolite identification | metabolomics | metabolic pathways | protein-metabolite interactions,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,6,medium,experimental biology,data reproducibility and standardization,1,1,3,0,0,0,"Understanding and reducing interlaboratory and interexperimental variability in biological data, and identifying which types of biological data are most susceptible to discrepancies caused by different laboratory protocols",reproducibility | inter-laboratory variability | standardization | batch effects | quality control,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,7,medium,systems biology,stochastic biological processes,1,1,3,0,0,0,"Biological systems often operate in a physical regime that cannot be perfectly described by continuous mathematical frameworks (e.g., essential molecules with less than one copy number per cell), requiring improved understanding of stochasticity in these systems",stochasticity | low copy number | single-cell | molecular noise | gene expression,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,8,medium,experimental biology,reproducibility and replication,1,1,3,0,0,0,"Unknown data reproducibility and replicability are major challenges; few biological and environmental studies are replicated within the same laboratory, and fewer still across multiple laboratories",reproducibility | replication | experimental validation | research quality,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,9,medium,microbial ecology,methane cycle microbiology,1,1,3,0,0,0,"How can environmental genomic data be translated into complete, accurate, and predictive mechanistic models of microbial taxa and communities involved in the methane cycle?",metagenomics | methanogens | methanotrophs | genome annotation | metabolic modeling | functional prediction,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,10,medium,plant-microbe interactions,methane cycling,1,1,3,0,0,0,What are the mechanisms by which plant traits affect soil methane release through plant-soil-microbe interactions?,plant traits | aerenchyma | root exudates | radial oxygen loss | rhizosphere | plant-microbe interactions,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,11,medium,microbial ecology,syntrophy and microbial interactions,1,1,3,0,0,0,How do interspecific microbial interactions and microbe-microbe dependencies control methane production and consumption rates?,syntrophy | microbial interactions | electron transfer | community composition | methanotrophs | methanogens,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,12,medium,soil biogeochemistry,pore-scale processes,1,1,3,0,0,0,"How do soil pore structure and pore-scale processes affect methane production, consumption, and efflux?",soil structure | pore-scale processes | ebullition | redox dynamics | microsites | diffusion,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,13,medium,ecosystem ecology,spatiotemporal heterogeneity in biogeochemistry,1,1,3,0,0,0,"How can hot spots and hot moments in methane fluxes be captured, predicted, and mechanistically explained?",hot spots | hot moments | spatiotemporal variability | ebullition | autonomous sensing | edge computing,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,14,medium,agroecosystem ecology,methane cycling in managed lands,1,1,3,0,0,0,"How do management practices in cropland systems affect the soil methane sink, and how might this sink respond to climate change?",cropland | agricultural management | soil sink | methanotrophs | precipitation | human behavior,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,15,medium,microbial ecology,climate change effects on methane-oxidizing bacteria,1,1,3,0,0,0,"How will soil methanotroph abundance and activity respond to altered temperature, precipitation, and atmospheric methane concentrations under climate change?",methanotrophs | soil sink | climate change | temperature | precipitation | high-affinity oxidation | Arctic,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,16,medium,disturbance ecology,fire effects on methane cycling,1,1,3,0,0,0,"What are the direct and indirect effects of wildfires on methane emissions, and how do forest management practices modulate these effects?",wildfire | pyrogenic methane | fire ecology | fuel reduction | post-fire recovery | soil carbon,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,19,medium,bioprocess engineering,microbial fermentation scale-up,1,1,3,0,0,0,"How can we predict microbial strain performance when scaling from milliliter shake flasks to bioreactors (2L and larger), given that microbes undergo genotypical and phenotypical changes that lead to fitness-related mutations and lower productivity?",scale-up | fitness mutations | bioreactor | strain performance | genotypic changes | phenotypic changes,doe-amber-ai-ml-bioenergy-2023,workshop_report,Artificial Intelligence and Machine Learning for Bioenergy Research: Opportunities and Challenges,,,,,,
20260210_082129,20,medium,analytical chemistry,spectroscopy and machine learning,1,1,3,0,0,0,"How can we invert AI-derived spectral signatures (infrared, Raman, etc.) to discover the underlying chemistry, genes, and biochemical states that provide predictive power for cell states and phenotypes?",spectral inversion | Raman spectroscopy | near-infrared spectroscopy | cell state signatures | nondestructive monitoring,doe-amber-ai-ml-bioenergy-2023,workshop_report,Artificial Intelligence and Machine Learning for Bioenergy Research: Opportunities and Challenges,,,,,,
20260210_082129,21,medium,bioprocess control,AI-based process control and extreme event prediction,1,1,3,0,0,0,"How do we develop AI-based control systems that can predict extreme events in bioreactors under low signal-to-noise conditions, including appropriate non-Markovian formulations and objective functions?",extreme events | reinforcement learning | signal-to-noise | non-Markovian | process control | bioreactor,doe-amber-ai-ml-bioenergy-2023,workshop_report,Artificial Intelligence and Machine Learning for Bioenergy Research: Opportunities and Challenges,,,,,,
20260210_082129,22,medium,bioprocess engineering,large-scale fermentation and digital twins,1,1,3,0,0,0,"How can we characterize and model spatial heterogeneity in large-scale bioreactors (10,000+ L) where gradients in pressure, oxygen, carbon dioxide, and nutrients impact microbial productivity?",spatial heterogeneity | digital twin | computational fluid dynamics | large-scale bioreactor | process gradients,doe-amber-ai-ml-bioenergy-2023,workshop_report,Artificial Intelligence and Machine Learning for Bioenergy Research: Opportunities and Challenges,,,,,,
20260210_082129,23,medium,bioprocess engineering,downstream processing and separation,1,1,3,0,1,0,"How can AI/ML approaches predict the performance of downstream processing (DSP) unit operations and identify optimal process pathways using chemical, rheological, and physical properties of fermentation cultures?",downstream processing | separation | unit operations | process optimization | rheology,doe-amber-ai-ml-bioenergy-2023,workshop_report,Artificial Intelligence and Machine Learning for Bioenergy Research: Opportunities and Challenges,,,,,,
20260210_082129,24,medium,machine learning,physics-informed and mechanistic machine learning,1,1,3,0,1,0,How can we encode domain knowledge and mechanistic understanding directly into AI/ML model architectures rather than just using mechanistic models to generate features or combining them only at the prediction stage?,physics-informed neural networks | mechanistic modeling | domain knowledge | constraint-based modeling | interpretability,doe-amber-ai-ml-bioenergy-2023,workshop_report,Artificial Intelligence and Machine Learning for Bioenergy Research: Opportunities and Challenges,,,,,,
20260210_082129,25,medium,machine learning,low-data regime learning for biology,1,1,3,0,1,0,How can we develop data-efficient AI/ML approaches (generative models or low-N models) that can make accurate predictions from limited experimental data in synthetic biology applications?,limited data | generative models | low-N learning | data efficiency | transfer learning,doe-amber-ai-ml-bioenergy-2023,workshop_report,Artificial Intelligence and Machine Learning for Bioenergy Research: Opportunities and Challenges,,,,,,
20260210_082129,31,medium,analytical chemistry,high-throughput screening and sample preparation,1,1,3,0,0,0,How can high-throughput screening technologies for sample quality be developed for imaging technologies to downselect the best samples for structural and cellular characterization?,high-throughput screening | sample quality | automation | imaging | cryo-EM | crystallography,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,34,medium,plant genetics,transformation genetics,1,1,3,0,0,0,"Genotype-specific transformation efficiency differences are driven by unknown underlying genetic or epigenetic variation, preventing widespread adoption of plant engineering in non-elite lines.",genotype-specific transformation | transformation recalcitrance | genetic variation | epigenetic variation | elite lines,doe-plant-transformation-bioenergy-2024,workshop_report,Overcoming Barriers in Plant Transformation: A Focus on Bioenergy Crops,,,,,,
20260210_082129,36,medium,plant genomics,polyploid gene function,1,1,3,0,0,0,"The functional roles of polyploid gene copies in bioenergy crops are not directly inferable from model plant studies due to sub-functionalization, neo-functionalization, and pseudogenization, limiting the ability to precisely target gene edits.",polyploidy | homoeologs | sub-functionalization | neo-functionalization | gene function,doe-plant-transformation-bioenergy-2024,workshop_report,Overcoming Barriers in Plant Transformation: A Focus on Bioenergy Crops,,,,,,
20260210_082129,38,medium,soil science,agricultural residue management,1,1,3,0,0,0,How much crop residue can be removed from soils while maintaining soil health across different soil types and conditions?,crop residue | residue removal | soil health | site-specific management | erosion,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,39,medium,agricultural economics,biochar adoption and soil amendment economics,1,1,3,0,0,0,"What is the value proposition for farmers to adopt biochar amendments, given that higher yields are not universal across all soils and climates?",biochar | farmer adoption | yield response | ecosystem services | biochar quality,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,40,medium,bioenergy crop production,short-rotation woody crops and soil carbon dynamics,1,1,3,0,0,0,What are the long-term impacts (beyond 10 years) of biomass willow production on soil carbon storage and belowground biomass across different sites and cultivars?,biomass willow | short-rotation coppice | belowground biomass | soil carbon | long-term studies,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,41,medium,soil biogeochemistry,soil organic matter fractionation and stabilization,1,1,3,0,0,0,"What mechanisms determine whether bioenergy crop inputs increase particulate organic matter (POM) versus mineral-associated organic matter (MAOM), and how can management practices be optimized to increase persistent MAOM storage?",particulate organic matter | mineral-associated organic matter | soil organic carbon | carbon stabilization | root inputs,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,43,medium,soil microbiology,microbial controls on soil carbon stabilization,1,1,3,0,0,0,"What are the target microbial taxa and functional genes that regulate persistent soil organic carbon storage in bioenergy cropping systems, and how can they be managed?",soil microbiome | mycorrhizae | microbial ecology | carbon stabilization | bioenergy crops,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,44,medium,soil science,soil carbon saturation and storage capacity,1,1,3,0,0,0,What is the carbon storage potential and saturation capacity of marginal and highly weathered soils under deep-rooted perennial bioenergy crops?,marginal soils | soil carbon saturation | deep-rooted perennials | weathered soils | carbon storage capacity,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,45,medium,land use science,land use change and carbon accounting,1,1,3,0,0,0,"How do different types of land use change (e.g., cropland to willow, grassland to willow, forest to cropland) affect net soil carbon balance, and what decision frameworks can prevent carbon losses?",land use change | indirect land use change | leakage | carbon accounting | bioenergy crops,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,46,medium,soil biogeochemistry,climate change impacts on soil carbon dynamics,1,1,3,0,0,0,"How will soil carbon kinetics and decomposition rates change under future climate warming scenarios, and how should this affect projections of soil carbon persistence?",soil carbon kinetics | temperature sensitivity | climate warming | carbon permanence | decomposition,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,47,medium,agricultural management,integrated biochar and residue management,1,1,3,0,0,0,What are the optimal management strategies for integrating biochar application with crop residue harvesting to maintain or increase soil carbon stocks in bioenergy feedstock production systems?,biochar | residue removal | pyrolysis | soil carbon | distributed systems,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,48,medium,synthetic biology,biomanufacturing infrastructure,1,1,3,0,0,0,"Further foundational research is needed on infrastructure engineering issues like fermenters and cooling technologies, improving the engineering of non-model microorganisms, and broader work on metrology and standards which are critical for scaling.",biomanufacturing | fermentation | non-model organisms | metrology | standards | scaling,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
20260210_082129,50,medium,synthetic biology,data infrastructure and governance,1,1,3,0,0,0,"Progress in biodata sharing is hindered by infrastructure bottlenecks such as lack of standardization and need for curation, with broader assessment needed of existing incentives and structures especially across borders.",biodata | data sharing | standardization | FAIR data | data governance | cross-border,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
20260210_082129,51,medium,synthetic biology,regulatory science,1,1,3,1,0,0,"There could be a growing disconnect between the pace and complexity of synthetic biology technology and the regulatory capacity to assess it, with regulatory regimes potentially unprepared for the amount, complexity or pace of new products in the longer term.",regulatory science | risk assessment | regulatory capacity | product assessment,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
20260210_082129,52,medium,synthetic biology,technology assessment and responsible innovation,1,1,3,0,0,0,It would be useful to consider how plausible the envisioned futures of synthetic biology are under real-world circumstances (such as neoliberal policies in capitalism) and realistically understand how they could lead to harm (such as perverse incentives and unintended consequences).,responsible innovation | technology assessment | unintended consequences | equity | social impact,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
20260210_082129,54,medium,synthetic biology,genetic circuit engineering,1,1,3,0,0,0,Current synthetic biological circuits only function under controlled lab conditions and for a limited time. Improved robustness is needed to deal with environmental fluctuations and evolutionary pressures for real-world applications.,genetic circuits | robustness | environmental stability | evolutionary stability | circuit design,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
20260210_082129,55,medium,synthetic biology,biocontainment and biosafety,1,1,3,0,0,0,"More complex recoding of bacteria for biocontainment could enable more control of environmentally released organisms, but improved biocontainment methods are still needed.",biocontainment | biosafety | genome recoding | synthetic auxotrophy | environmental release,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
20260210_082129,56,medium,synthetic biology,biosecurity culture and practices,1,1,3,0,0,0,"How to enact foundational change in risk management culture, shifting from burdensome tick-the-box exercises to inspiring frontline scientists to consider security-by-design approaches.",biosecurity | biosafety | security-by-design | risk management | research culture,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
20260210_082129,18,narrow,ecosystem ecology,observational networks and data gaps,1,1,2,0,0,0,How can the FLUXNET-CH4 dataset and similar observational networks be expanded to better represent tropical ecosystems and reduce uncertainties in global methane flux estimates?,FLUXNET-CH4 | tropical ecosystems | eddy covariance | observational networks | data gaps,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,42,narrow,soil biogeochemistry,biochar fate and persistence in soils,1,1,2,0,0,0,"How do biochar particles distribute among soil organic matter fractions (POM versus MAOM) over decadal timescales, and what controls this distribution?",biochar | pyrogenic carbon | soil organic matter fractions | carbon persistence | POM | MAOM,doe-soil-carbon-bioenergy-2023,workshop_report,Bioenergy's Role in Soil Carbon Storage Workshop Report,,,,,,
20260210_082129,4,broad,microbiome science,microbiome function and engineering,1,1,4,0,0,0,"Understanding how microbiome systems function, how they are connected to growth conditions, how they respond to perturbations, including individual organism behavior, interspecies interactions, and interactions with the environment, complicated by the fact that many organisms cannot be isolated and their genomic capabilities are uncertain",microbiome | unculturable organisms | interspecies interactions | microbial ecology | synthetic communities,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,5,broad,soil ecology,soil system dynamics and molecular mechanisms,1,1,4,0,0,0,Significant knowledge gaps remain concerning the molecular-scale mechanisms that drive organismal and interkingdom interactions in soils and how these processes scale to shape ecosystem-level dynamics and responses to extreme weather,soil ecology | interkingdom interactions | molecular mechanisms | ecosystem dynamics | extreme weather response | multiscale processes,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,26,broad,structural biology,protein function prediction and characterization,1,1,4,0,0,0,"How can the functions of proteins be linked with their sequence and genomic context, structure and dynamics, metabolic pathways, and interactions with other biomolecules in the context of cellular organelles and cells?",protein function | structural proteomics | high-throughput characterization | metabolic pathways | protein-protein interactions,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,27,broad,systems biology,cell modeling and spatial organization,1,1,4,0,0,0,"How can interactive and holistic cell models at multiple scales be created by integrating multiple sources of experimental data to map locations, coordination, quantities, and dynamics of proteins and metabolites at organelle and single-cell levels?",cell modeling | spatial organization | organelles | protein localization | metabolite dynamics | multi-scale integration,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,3,broad,protein engineering,sequence-function relationships,1,1,3,0,0,0,"Understanding how a protein's sequence impacts its function at a deep mechanistic level, beyond protein folding",sequence-function relationship | protein design | enzyme engineering | epistasis | allostery,doe-ai-biological-research-2026,workshop_report,Envisioning Frontiers in AI and Computing for Biological Research,,,,,,
20260210_082129,17,broad,Earth system modeling,methane budget reconciliation,1,1,3,0,0,0,How can models resolve discrepancies between bottom-up process-based estimates and top-down atmospheric inversion estimates of wetland methane emissions?,bottom-up models | top-down models | atmospheric inversion | model-data integration | uncertainty quantification | wetlands,doe-ai-methane-cycle-2024,workshop_report,Artificial Intelligence for the Methane Cycle,,,,,,
20260210_082129,30,broad,systems biology,predictive modeling and experimental design,1,1,3,0,0,0,How can workflows be established to bidirectionally connect experimental findings from lab-designed settings to real-life observations to predict and model biological responses and mechanisms?,DBTL cycles | predictive modeling | experimental design | data integration | feedback loops,doe-genomes-structure-function-2023,workshop_report,Genomes to Structure and Function,,,,,,
20260210_082129,33,broad,plant biology,plant regeneration and transformation,1,1,3,0,0,0,"The biology and genetic mechanisms underlying plant regeneration are not well understood, including somatic embryogenesis, DNA repair, and the molecular basis of recalcitrance.",plant regeneration | somatic embryogenesis | DNA repair | recalcitrance | transformation efficiency,doe-plant-transformation-bioenergy-2024,workshop_report,Overcoming Barriers in Plant Transformation: A Focus on Bioenergy Crops,,,,,,
20260210_082129,53,broad,synthetic biology,global equity and access,1,1,3,0,0,0,"Structural equity barriers exist that drive inequitable access to synthetic biology products and benefits, with disparities between advanced and developing economies starting at the scientific research level and creating structural dependence.",equity | access | developing countries | supply chain | capacity building | investment,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
20260210_082129,49,broad,synthetic biology,biomanufacturing scale-up,1,1,2,0,0,0,"Current worldwide infrastructure and capacity is insufficient to enable the bioeconomy transition, particularly the shift from high-value, low-volume products to financially viable, high-volume, mass-produced ones.",biomanufacturing | infrastructure | bioeconomy | scaling | high-volume production,oecd-synthetic-biology-2025,workshop_report,Synthetic Biology in Focus,,,,,,
